Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Charge amount (EUR),Finra fee (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2021-03-02 14:42:26,US63008G2030,NNDM,"Nano Dimension ",2.0000000000,10.18,USD,1.20350,,16.92,,,,EOF1131491883,
Market buy,2021-03-02 14:42:49,US48138M1053,JMIA,"Jumia Technologies",1.2000000000,47.30,USD,1.20362,,47.16,,,,EOF1131492165,
Market buy,2021-03-02 14:45:33,US62914V1061,NIO,"NIO Inc",0.5000000000,45.05,USD,1.20375,,18.71,,,,EOF1131499930,
Market buy,2021-03-02 14:46:15,US69608A1088,PLTR,"Palantir",1.0000000000,24.93,USD,1.20375,,20.71,,,,EOF1131500869,
Market buy,2021-03-02 14:47:34,US62914V1061,NIO,"NIO Inc",0.5000000000,45.18,USD,1.20391,,18.76,,,,EOF1131502791,
Market buy,2021-03-22 16:38:16,US09354A1007,BLNK,"Blink Charging",1.0000000000,40.60,USD,1.19329,,34.02,,,,EOF1222002997,
Market buy,2021-03-22 16:39:00,US3743964062,GEVO,"Gevo",2.0000000000,9.99,USD,1.19332,,16.74,,,,EOF1222003180,
Market sell,2021-04-05 15:20:30,US3743964062,GEVO,"Gevo",2.0000000000,9.42,USD,1.18127,-0.79,15.93,,,,EOF1255744122,0.02
Market buy,2021-04-05 15:24:45,US6085501095,MTEM,"Molecular Templates",2.0000000000,9.34,USD,1.18099,,15.84,,,,EOF1255745746,0.02
Market sell,2021-04-05 15:31:13,US6085501095,MTEM,"Molecular Templates",2.0000000000,9.26,USD,1.18135,-0.14,15.66,,,,EOF1255747594,0.02
Market sell,2021-04-06 13:31:11,US5657881067,MARA,"Marathon Digital Holdings",2.0000000000,56.15,USD,1.18360,34.59,94.74,,,,EOF1260470334,0.14
Market buy,2021-04-06 13:34:07,US03990B1017,ARES,"Ares Management",1.0000000000,54.11,USD,1.18370,,45.78,,,,EOF1260472829,0.07
Market buy,2021-04-06 13:36:54,US3743964062,GEVO,"Gevo",2.0000000000,9.02,USD,1.18347,,15.26,,,,EOF1260475124,0.02
Market buy,2021-04-06 13:46:39,US5657881067,MARA,"Marathon Digital Holdings",1.0000000000,54.48,USD,1.18344,,46.10,,,,EOF1260489162,0.07
Market sell,2021-04-06 14:20:18,US03990B1017,ARES,"Ares Management",1.0000000000,54.63,USD,1.18449,0.41,46.05,,0.00,,EOF1260509821,0.07
Market buy,2021-04-06 14:20:33,US5657881067,MARA,"Marathon Digital Holdings",1.0000000000,52.80,USD,1.18407,,44.66,,,,EOF1260509915,0.07
Deposit,2021-04-09 07:49:04,,,,,,,,,0.16,0.16,,"FX fee refund",0bd301c5-5f03-4edc-9bd2-c10cbf35e629,
Market buy,2021-04-13 14:27:12,US01609W1027,BABA,"Alibaba",0.1000000000,245.13,USD,1.19307,,20.58,,,,EOF1277472706,0.03
Market sell,2021-04-19 18:04:55,US01609W1027,BABA,"Alibaba",0.1000000000,233.64,USD,1.20357,-1.14,19.38,,,,EOF1292408897,0.03
Market sell,2021-04-19 18:05:15,US3743964062,GEVO,"Gevo",2.0000000000,6.29,USD,1.20359,-4.79,10.43,,,,EOF1292408922,0.02
Market buy,2021-04-19 18:08:53,US5657881067,MARA,"Marathon Digital Holdings",1.0000000000,35.17,USD,1.20319,,29.27,,,,EOF1292409344,0.04
Market sell,2021-06-01 15:15:20,US98422D1054,XPEV,"XPeng",1.0000000000,34.07,USD,1.22525,-7.98,27.77,,,,EOF1367126494,0.04
Market buy,2021-06-01 15:16:01,US00165C1045,AMC,"AMC Entertainment Holdings",1.0000000000,29.97,USD,1.22494,,24.51,,,,EOF1367127022,0.04
Market buy,2021-06-07 14:06:10,US74933X2036,RMED,"RA Medical Systems ",1.0000000000,8.73,USD,1.21752,,7.18,,,,EOF1376649346,0.01
Market buy,2021-06-07 14:09:23,US15961R1059,CHPT,"ChargePoint Holdings",0.2000000000,28.93,USD,1.21774,,4.76,,,,EOF1376650285,0.01
Market sell,2021-06-07 14:12:24,US15961R1059,CHPT,"ChargePoint Holdings",0.2000000000,28.52,USD,1.21819,-0.07,4.67,,,,EOF1376651128,0.01
Market sell,2021-06-07 14:13:05,US00165C1045,AMC,"AMC Entertainment Holdings",1.0000000000,55.16,USD,1.21816,20.81,45.21,,,,EOF1376651336,0.07
Market sell,2021-06-07 14:15:40,US74933X2036,RMED,"RA Medical Systems ",1.0000000000,7.95,USD,1.21827,-0.64,6.52,,,,EOF1376652131,0.01
Market buy,2021-06-07 14:16:08,US00165C1045,AMC,"AMC Entertainment Holdings",1.0000000000,54.20,USD,1.21782,,44.58,,,,EOF1376652302,0.07
Market buy,2021-06-22 13:30:04,US21077C1071,WISH,"ContextLogic",1.0000000000,13.46,USD,1.19079,,11.32,,,,EOF1405295969,0.02
Market sell,2021-06-22 13:53:43,US21077C1071,WISH,"ContextLogic",1.0000000000,13.99,USD,1.18984,0.46,11.74,,,,EOF1405314180,0.02
Market buy,2021-06-22 13:54:45,US21077C1071,WISH,"ContextLogic",1.0000000000,13.92,USD,1.18978,,11.72,,,,EOF1405314513,0.02
Market buy,2021-06-28 15:46:17,US56804T2050,MRIN,"Marin Software ",0.5000000000,7.11,USD,1.19317,,2.98,,,,EOF1417372102,
Market sell,2021-06-29 13:42:11,US56804T2050,MRIN,"Marin Software ",0.5000000000,8.93,USD,1.18938,0.77,3.74,,,,EOF1418745605,0.01
Market sell,2021-06-29 13:43:02,US21077C1071,WISH,"ContextLogic",1.0000000000,13.97,USD,1.18930,0.05,11.73,,,,EOF1418746345,0.02
Market buy,2021-06-29 13:50:41,US16383L1061,CCXI,"ChemoCentryx",1.0000000000,14.23,USD,1.18937,,11.98,,,,EOF1418751650,0.02
Deposit,2021-07-02 07:00:52,,,,,,,,,100.00,100.00,,"Bank Transfer",1f24c07e-48e9-4824-ad04-07521e5b1080,
Market buy,2021-07-02 16:10:00,US50202M1027,LI,"Li Auto",3.5000000000,32.35,USD,1.18416,,95.76,,,,EOF1427355616,0.14
