Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2022-03-01 20:49:56,US5398301094,LMT,"Lockheed Martin",0.1000000000,453.60,USD,1.11252,,40.83,,,,,,EOF1812139690,0.06
Market buy,2022-03-02 08:00:31,GB0002634946,BA.,"BAE Systems",6.0000000000,748.80,GBX,83.46809,,54.18,,,,0.27,,EOF1812147018,0.08
Dividend (Ordinary),2022-03-02 14:57:16,US4581401001,INTC,"Intel",1.0000000000,0.31,USD,Not available,,0.28,0.05,USD,,,,,
Market sell,2022-03-03 15:30:00,GB0002634946,BA.,"BAE Systems",10.0000000000,699.40,GBX,82.86509,0.93,84.27,,,,,,EOF1815374602,0.13
Market buy,2022-03-03 15:30:28,US5398301094,LMT,"Lockheed Martin",0.2000000000,442.13,USD,1.10623,,80.05,,,,,,EOF1815374678,0.12
Dividend (Ordinary),2022-03-11 18:49:25,US5949181045,MSFT,"Microsoft",0.1000000000,0.53,USD,Not available,,0.05,0.01,USD,,,,,
Market sell,2022-03-18 13:33:32,GB0002634946,BA.,"BAE Systems",5.0000000000,724.20,GBX,83.93130,1.40,43.08,,,,,,EOF1837627397,0.06
Market buy,2022-03-18 13:34:38,US62914V1061,NIO,"NIO",2.0000000000,18.71,USD,1.10065,,34.05,,,,,,EOF1837627920,0.05
Dividend (Ordinary),2022-03-28 12:33:34,US5398301094,LMT,"Lockheed Martin",0.2000000000,2.38,USD,Not available,,0.43,0.08,USD,,,,,
Dividend (Ordinary),2022-03-31 07:48:23,IE00B3XXRP09,VUSD,"Vanguard S&P 500 (Dist)",0.3000000000,0.26,USD,Not available,,0.07,0.00,USD,,,,,
Market sell,2022-04-04 13:30:10,US5398301094,LMT,"Lockheed Martin",0.5000000000,446.30,USD,1.09872,11.86,202.80,,,,,,EOF1858471469,0.30
Market buy,2022-04-06 10:47:34,GB00B15KY104,NGAS,"WisdomTree Natural Gas",2000.0000000000,0.03,USD,1.09045,,47.94,,,,,,EOF1862674043,0.07
Market buy,2022-04-06 15:32:55,US98422D1054,XPEV,"XPeng",3.0000000000,28.38,USD,1.09061,,78.19,,,,,,EOF1863629489,0.12
Market buy,2022-04-06 15:33:49,US62914V1061,NIO,"NIO",4.0000000000,21.35,USD,1.09059,,78.43,,,,,,EOF1863629533,0.12
Limit buy,2022-04-07 15:33:29,US62914V1061,NIO,"NIO",1.0000000000,19.98,USD,1.09006,,18.36,,,,,,EOF1865461514,0.03
Market sell,2022-05-04 11:13:40,GB00B15KY104,NGAS,"WisdomTree Natural Gas",1000.0000000000,0.03,USD,1.05296,7.97,31.86,,,,,,EOF1896435491,0.05
Market buy,2022-05-04 13:33:27,US62914V1061,NIO,"NIO",2.0000000000,17.09,USD,1.05500,,32.45,,,,,,EOF1896447397,0.05
Market sell,2022-05-09 14:07:54,GB00B15KY104,NGAS,"WisdomTree Natural Gas",1000.0000000000,0.03,USD,1.05294,6.08,29.96,,,,,,EOF1902440120,0.05
Market buy,2022-05-09 14:08:12,US98422D1054,XPEV,"XPeng",1.0000000000,20.26,USD,1.05291,,19.27,,,,,,EOF1902440186,0.03
Market buy,2022-05-09 14:08:46,US62914V1061,NIO,"NIO",1.0000000000,13.81,USD,1.05285,,13.14,,,,,,EOF1902440289,0.02
Dividend (Ordinary),2022-05-13 10:36:18,US0378331005,AAPL,"Apple",0.1000000000,0.20,USD,Not available,,0.02,0.00,USD,,,,,
Deposit,2022-05-18 06:42:27,,,,,,,,,100.00,,,100.00,,"Bank Transfer",b051e561-2f28-4a1b-bd9f-08c1bd77559a,
